DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/1/17,10:50,QUEENS,11385,40.703003,-73.905106,"(40.703003, -73.905106)",,,1852      MADISON STREET                ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3781343,TK,,,,
11/1/17,10:52,BROOKLYN,11203,40.63759,-73.927864,"(40.63759, -73.927864)",EAST 51 STREET                  ,FARRAGUT ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781326,TT,TK,,,
11/1/17,10:55,BROOKLYN,11206,40.70016,-73.940926,"(40.70016, -73.940926)",,,777       BROADWAY                      ,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3781681,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/1/17,10:55,QUEENS,11101,40.754337,-73.92496,"(40.754337, -73.92496)",36 AVENUE                       ,37 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3781784,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
11/1/17,11:00,BROOKLYN,11207,40.67576,-73.896645,"(40.67576, -73.896645)",,,2645      ATLANTIC AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3781758,SPORT UTILITY / STATION WAGON,,,,
11/1/17,11:00,QUEENS,11367,40.727978,-73.81419,"(40.727978, -73.81419)",,,72-15     KISSENA BOULEVARD             ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781508,PASSENGER VEHICLE,,,,
11/1/17,11:00,,,40.65318,-74.00561,"(40.65318, -74.00561)",38 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781201,PASSENGER VEHICLE,TK,,,
11/1/17,11:00,,,40.716488,-74.0099,"(40.716488, -74.0099)",READE STREET                    ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3781400,PASSENGER VEHICLE,,,,
11/1/17,11:00,,,40.605568,-74.03118,"(40.605568, -74.03118)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3782501,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/1/17,11:00,BRONX,10452,40.843204,-73.91196,"(40.843204, -73.91196)",MOUNT EDEN PARKWAY              ,GRAND CONCOURSE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3781505,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/1/17,11:10,MANHATTAN,10016,40.74608,-73.974945,"(40.74608, -73.974945)",2 AVENUE                        ,EAST 36 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3781387,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/1/17,11:10,BRONX,10466,40.888016,-73.83128,"(40.888016, -73.83128)",,,3800      DYRE AVENUE                   ,2,0,0,0,0,0,2,0,Cell Phone (hand-held),Unspecified,,,,3782009,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/1/17,11:15,MANHATTAN,10065,40.76399,-73.958786,"(40.76399, -73.958786)",1 AVENUE                        ,EAST 66 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3781781,PASSENGER VEHICLE,TK,,,
11/1/17,11:15,QUEENS,11101,40.744972,-73.95044,"(40.744972, -73.95044)",,,11-43     47 AVENUE                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781245,SPORT UTILITY / STATION WAGON,,,,
11/1/17,11:15,QUEENS,11357,40.79148,-73.814865,"(40.79148, -73.814865)",150 STREET                      ,11 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3781169,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/1/17,11:15,,,,,,AVENUE OF THE AMERICAS          ,,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3781301,BU,SPORT UTILITY / STATION WAGON,,,
11/1/17,11:15,,,40.709274,-74.01198,"(40.709274, -74.01198)",TRINITY PLACE                   ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781485,TK,PASSENGER VEHICLE,,,
11/1/17,11:15,,,40.78169,-73.94897,"(40.78169, -73.94897)",2 AVENUE                        ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3781721,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/1/17,11:20,BROOKLYN,11237,40.70281,-73.9254,"(40.70281, -73.9254)",STARR STREET                    ,KNICKERBOCKER AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3781671,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/1/17,11:20,,,40.596165,-73.99622,"(40.596165, -73.99622)",23 AVENUE                       ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781372,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/1/17,11:20,MANHATTAN,10016,40.746777,-73.97444,"(40.746777, -73.97444)",,,685       2 AVENUE                      ,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3781389,BICYCLE,PICK-UP TRUCK,,,
